Hash,Division,Collection,ProductNameDescription,ProductCategory,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures
10000-00000,Moto,SP23,AIRMATIC Gloves,Gloves,Black/Charcoal,TRUE,TRUE,10000-00000,10000-00000,10000-00001,10000-00002,10000-00003,10000-00004,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10000-00005,Moto,SP23,AIRMATIC Gloves,Gloves,Blue,TRUE,TRUE,10000-00005,10000-00005,10000-00006,10000-00007,10000-00008,10000-00009,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10000-00010,Moto,SP23,AIRMATIC Gloves,Gloves,Fluo Yellow/Black,TRUE,TRUE,10000-00010,10000-00010,10000-00011,10000-00012,10000-00013,10000-00014,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10000-00015,Moto,SP23,AIRMATIC Gloves,Gloves,Navy/White,TRUE,FALSE,10000-00015,10000-00015,10000-00016,10000-00017,10000-00018,10000-00019,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10000-00025,Moto,SP23,AIRMATIC Gloves,Gloves,Red/Black,TRUE,TRUE,10000-00025,10000-00025,10000-00026,10000-00027,10000-00028,10000-00029,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10001-00000,Moto,SP23,AIRMATIC Youth Gloves,Gloves,Black/Charcoal,TRUE,TRUE,10001-00000,10001-00000,10001-00001,10001-00002,10001-00003,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10001-00004,Moto,SP23,AIRMATIC Youth Gloves,Gloves,Fluo Yellow/Black,TRUE,TRUE,10001-00004,10001-00004,10001-00005,10001-00006,10001-00007,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10001-00008,Moto,SP23,AIRMATIC Youth Gloves,Gloves,Red/Black,TRUE,TRUE,10001-00008,10001-00008,10001-00009,10001-00010,10001-00011,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10008-00005,Moto,SP23,ITRACK Gloves,Gloves,Black,TRUE,TRUE,10008-00005,10008-00005,10008-00006,10008-00007,10008-00008,10008-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
10008-00010,Moto,SP23,ITRACK Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10008-00010,10008-00010,10008-00011,10008-00012,10008-00013,10008-00014,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
10008-00015,Moto,SP23,ITRACK Gloves,Gloves,Red,TRUE,TRUE,10008-00015,10008-00015,10008-00016,10008-00017,10008-00018,10008-00019,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
10009-00000,Moto,SP23,ITRACK Youth Gloves,Gloves,Black,TRUE,TRUE,10009-00000,10009-00000,10009-00001,10009-00002,10009-00003,,,,S,M,L,XL,,,,24.5,24.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
10009-00004,Moto,SP23,ITRACK Youth Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10009-00004,10009-00004,10009-00005,10009-00006,10009-00007,,,,S,M,L,XL,,,,24.5,24.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
10010-00000,Moto,SP23,RIDEFIT Gloves,Gloves,Black/White,TRUE,TRUE,10010-00000,10010-00000,10010-00001,10010-00002,10010-00003,10010-00004,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices"
10010-00005,Moto,SP23,RIDEFIT Gloves,Gloves,Fluo Orange,TRUE,TRUE,10010-00005,10010-00005,10010-00006,10010-00007,10010-00008,10010-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices"
10010-00025,Moto,SP23,RIDEFIT Gloves,Gloves,Navy,TRUE,TRUE,10010-00025,10010-00025,10010-00026,10010-00027,10010-00028,10010-00029,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices"
